,subject,session,t,p,r,hatr,s_pre,s,a,impact,netw,Cash,Stocks,etas,r_shift
5588,12_C03,12,45,438.614893494024,-0.16237375789473596,-0.031387451774529396,1.0,-1,1,-0.105263157894737,14.32461,114.324611886507,0.0,-0.05711059999999896,0.1042770015865857
5589,12_C03,12,46,507.589677198004,0.1460516068421045,-0.17011878666371505,-1.0,-1,0,0.157894736842105,14.32461,114.324611886507,0.0,-0.011843130000000507,-0.16237375789473596
5590,12_C03,12,47,402.609372697056,-0.23170660578947277,-0.12042581637972383,-1.0,-1,0,-0.210526315789474,14.32461,114.324611886507,0.0,-0.02118028999999877,0.1460516068421045
5591,12_C03,12,48,443.159209199054,0.09596230083704782,-0.08446378771634677,-1.0,1,1,0.194876700837048,14.32461,0.0,0.257976387522516,-0.09891440000000018,-0.23170660578947277
5592,12_C03,12,49,375.473281887648,-0.16574177894736764,0.058803600512439935,1.0,1,0,-0.0526315789473684,-3.13676,0.0,0.257976387522516,-0.11311019999999924,0.09596230083704782
5593,12_C03,12,50,403.28954477224,0.07146746210419508,0.18106026752006876,1.0,1,0,0.161893562104197,4.03918,0.0,0.257976387522516,-0.09042610000000192,-0.16574177894736764
5594,12_C03,12,51,508.255901344943,0.2313302861991824,-0.05948352462806028,1.0,1,0,0.153195296199182,31.11802,0.0,0.257976387522516,0.07813499000000038,0.07146746210419508
5595,12_C03,12,52,409.703777902134,-0.21555065789473726,0.013181837116062134,1.0,1,0,-0.105263157894737,5.6939,0.0,0.257976387522516,-0.11028750000000026,0.2313302861991824
5596,12_C03,12,53,459.038638994961,0.11369998168151074,0.048350803034670875,1.0,1,0,0.0633474216815088,18.42113,0.0,0.257976387522516,0.05035256000000195,-0.21555065789473726
5597,12_C03,12,54,430.864469915486,-0.06334080163449407,-0.06534917864683987,1.0,1,0,-0.035283801634494,11.15286,0.0,0.257976387522516,-0.028057000000000068,0.11369998168151074
5598,12_C03,12,55,332.55366609378,-0.2589923368421072,-0.07432903859197193,1.0,1,0,-0.157894736842105,-14.20901,0.0,0.257976387522516,-0.1010976000000022,-0.06334080163449407
5599,12_C03,12,56,338.975074390392,0.019125328947370512,0.13337000386258513,1.0,1,0,0.0526315789473684,-12.55243,0.0,0.257976387522516,-0.033506249999997885,-0.2589923368421072
5600,12_C03,12,57,373.673737083664,0.0974564781423819,-0.12214410314901603,1.0,1,0,0.0118555081423824,-3.601,0.0,0.257976387522516,0.0856009699999995,0.019125328947370512
5601,12_C03,12,58,469.025619516784,0.22727433684210396,0.06808149116038287,1.0,1,0,0.157894736842105,20.99753,0.0,0.257976387522516,0.06937959999999896,0.0974564781423819
5602,12_C03,12,59,401.522538278357,-0.15539372578947308,0.08375333292866838,1.0,-1,1,-0.210526315789474,3.58333,103.583333933922,0.0,0.055132590000000925,0.22727433684210396
5603,12_C03,12,60,404.625447011262,0.007698150000000403,-0.05509241427979816,-1.0,-1,0,0.0,3.58333,103.583333933922,0.0,0.007698150000000403,-0.15539372578947308
5604,12_C03,12,61,482.079104112153,0.17514640000000004,-0.14502866251677116,-1.0,-1,0,0.0,3.58333,103.583333933922,0.0,0.17514640000000004,0.007698150000000403
5605,12_C03,12,62,432.690092094599,-0.10808646789473819,-0.18664366989224845,-1.0,-1,0,-0.105263157894737,3.58333,103.583333933922,0.0,-0.002823310000001189,0.17514640000000004
5606,12_C03,12,63,515.767755024561,0.17563482789473817,-0.1298504963850604,-1.0,1,1,0.105263157894737,3.58333,0.0,0.200833287705217,0.07037167000000116,-0.10808646789473819
5607,12_C04,12,1,200.950754058513,0.6978896873684182,0.6931471805599445,-1.0,1,1,0.631578947368421,0.0,0.0,0.497634360560208,0.06631073999999715,0.17563482789473817
5608,12_C04,12,2,260.004905486511,0.2576406247368448,-0.1672614363062479,1.0,1,0,0.263157894736842,29.38737,0.0,0.497634360560208,-0.0055172699999971875,0.6978896873684182
5609,12_C04,12,3,202.646631225397,-0.24923676876739087,0.0740891050758945,1.0,1,0,-0.0698758687673895,0.84393,0.0,0.497634360560208,-0.17936090000000138,0.2576406247368448
5610,12_C04,12,4,225.988488858392,0.1090203343942262,-0.2362899140921373,1.0,1,0,-0.000442305605776387,12.45964,0.0,0.497634360560208,0.1094626400000026,-0.24923676876739087
5611,12_C04,12,5,245.053394386083,0.08099205934960452,0.21430553944905917,1.0,1,0,0.0134855193496064,21.94699,0.0,0.497634360560208,0.06750653999999812,0.1090203343942262
5612,12_C04,12,6,289.39063133806,0.16630131789473523,0.2023063515864063,1.0,1,0,0.105263157894737,44.01072,0.0,0.497634360560208,0.06103815999999823,0.08099205934960452
5613,12_C04,12,7,265.964075558527,-0.08441619559473512,-0.2741498946121679,1.0,1,0,-0.105263157894737,32.35286,0.0,0.497634360560208,0.02084696230000188,0.16630131789473523
5614,12_C04,12,8,323.389197350634,0.1954952978468283,-0.18973369901743276,1.0,1,0,0.0589565978468287,60.92958,0.0,0.497634360560208,0.1365386999999996,-0.08441619559473512
5615,12_C04,12,9,307.608547288526,-0.050028518947369705,0.1072474882335328,1.0,1,0,-0.0526315789473684,53.07658,0.0,0.497634360560208,0.002603059999998693,0.1954952978468283
5616,12_C04,12,10,364.260970314747,0.16904253789473866,-0.1681463932537257,1.0,1,0,0.105263157894737,81.26878,0.0,0.497634360560208,0.06377938000000166,-0.050028518947369705
5617,12_C04,12,11,315.810962713685,-0.14272674684210518,-0.09877790770346628,1.0,1,0,-0.157894736842105,57.15839,0.0,0.497634360560208,0.015167989999999826,0.16904253789473866
5618,12_C04,12,12,322.13743971268,0.01983447056174814,-0.12035421215263753,1.0,1,0,-0.026945869438252,60.30666,0.0,0.497634360560208,0.04678034000000014,-0.14272674684210518
5619,12_C04,12,13,315.200659102109,-0.02176883684210651,0.05396733172657253,1.0,1,0,-0.157894736842105,56.85468,0.0,0.497634360560208,0.1361258999999985,0.01983447056174814
5620,12_C04,12,14,320.059167113156,0.015296426889470638,-0.049426974385327505,1.0,1,0,0.0430162568894705,59.27244,0.0,0.497634360560208,-0.027719829999999862,-0.02176883684210651
5621,12_C04,12,15,282.536915371164,-0.12469666000136481,-0.1337162727617498,1.0,1,0,-0.00976766000136648,40.60008,0.0,0.497634360560208,-0.11492899999999834,0.015296426889470638
5622,12_C04,12,16,308.722311595233,0.08863298894736715,0.09276308154955792,1.0,1,0,0.0526315789473684,53.63083,0.0,0.497634360560208,0.036001409999998756,-0.12469666000136481
5623,12_C04,12,17,386.644563995973,0.2250636268421049,0.06665044958352428,1.0,1,0,0.157894736842105,92.40762,0.0,0.497634360560208,0.0671688899999999,0.08863298894736715
5624,12_C04,12,18,375.533467430489,-0.029158236842104834,-0.09957267723564733,1.0,1,0,-0.157894736842105,86.87836,0.0,0.497634360560208,0.12873650000000017,0.2250636268421049
5625,12_C04,12,19,368.772749397393,-0.018166995844858036,-0.0704144403935425,1.0,1,0,0.0112251741551426,83.51399,0.0,0.497634360560208,-0.029392170000000634,-0.029158236842104834
5626,12_C04,12,20,400.195236826024,0.08177192106271214,0.029990653688288127,1.0,1,0,0.0297945010627114,99.1509,0.0,0.497634360560208,0.05197742000000074,-0.018166995844858036
5627,12_C04,12,21,340.271501304306,-0.16220868789473553,0.048302191182558296,1.0,-1,1,-0.105263157894737,69.33079,169.33079096843,0.0,-0.05694552999999852,0.08177192106271214
5628,12_C04,12,22,269.056219786118,-0.23482347894736755,0.05636019925003577,-1.0,-1,0,-0.0526315789473684,69.33079,169.33079096843,0.0,-0.18219189999999916,-0.16220868789473553
5629,12_C04,12,23,315.973937350705,0.1607393801944914,0.03986924991649676,-1.0,-1,0,0.107789190194492,69.33079,169.33079096843,0.0,0.05295018999999941,-0.23482347894736755
5630,12_C04,12,24,325.982970972537,0.03118541027454036,0.01266126234652809,-1.0,-1,0,-0.00229394972545973,69.33079,169.33079096843,0.0,0.03347936000000009,0.1607393801944914
5631,12_C04,12,25,343.786811988824,0.053176588947367875,0.0710880107616747,-1.0,-1,0,0.0526315789473684,69.33079,169.33079096843,0.0,0.0005450099999994781,0.03118541027454036
5632,12_C04,12,26,347.998979916477,0.012177815826534655,-0.07170073687538014,-1.0,-1,0,-0.0741185241734653,69.33079,169.33079096843,0.0,0.08629633999999996,0.053176588947367875
5633,12_C04,12,27,367.370673728056,0.054171799999997994,-0.0838785527019148,-1.0,-1,0,0.0,69.33079,169.33079096843,0.0,0.054171799999997994,0.012177815826534655
5634,12_C04,12,28,361.658389022204,-0.01567125894736776,-0.09224081667061856,-1.0,-1,0,-0.0526315789473684,69.33079,169.33079096843,0.0,0.036960320000000636,0.054171799999997994
5635,12_C04,12,29,276.3271663167,-0.26911454064005813,-0.09160743508779134,-1.0,-1,0,0.0168189593599422,69.33079,169.33079096843,0.0,-0.28593350000000034,-0.01567125894736776
5636,12_C04,12,30,277.478797640723,0.004158976460931996,0.11498674857093327,-1.0,-1,0,0.0248399164609314,69.33079,169.33079096843,0.0,-0.020680939999999405,-0.26911454064005813
5637,12_C04,12,31,322.495761419416,0.15034546789473602,0.11082777211000128,-1.0,-1,0,0.105263157894737,69.33079,169.33079096843,0.0,0.045082309999999015,0.004158976460931996
5638,12_C04,12,32,317.802338605773,-0.01466038045404705,0.023002661196598773,-1.0,-1,0,-0.12287930045405,69.33079,169.33079096843,0.0,0.10821892000000295,0.15034546789473602
5639,12_C04,12,33,315.969408821428,-0.005784211436245634,0.03766304165064582,-1.0,-1,0,-0.106816491436244,69.33079,169.33079096843,0.0,0.10103227999999836,-0.01466038045404705
5640,12_C04,12,34,305.150564558094,-0.034840092284582624,0.04344725308689146,-1.0,-1,0,-0.0487545722845836,69.33079,169.33079096843,0.0,0.013914480000000978,-0.005784211436245634
5641,12_C04,12,35,355.328019706833,0.1522360529360851,,-1.0,-1,0,0.124677063936087,69.33079,169.33079096843,0.0,0.027558988999998105,-0.034840092284582624
5642,12_C04,12,36,382.681048401735,0.07416050841140809,0.06712989069529485,-1.0,-1,0,-0.0230031515885931,69.33079,169.33079096843,0.0,0.09716366000000119,0.1522360529360851
5643,12_C04,12,37,361.434824151964,-0.057120137894739464,-0.033698864798275,-1.0,-1,0,-0.105263157894737,69.33079,169.33079096843,0.0,0.04814301999999754,0.07416050841140809
