,session,subject,t,p,r,hatr,s_pre,s,a,impact,netw,Cash,Stocks,etas,r_shift,hatr_shift
56,8,8_A08,1,234.438949733225,0.8520250257142861,0.33647223662121206,-1.0,1,1,0.785714285714286,0.0,0.0,0.426550281486046,0.06631074000000003,0.4700036292457348,0.4700036292457348
57,8,8_B02,1,234.438949733225,0.8520250257142861,0.5007752879124885,-1.0,1,1,0.785714285714286,0.0,0.0,0.426550281486046,0.06631074000000003,0.33647223662121206,0.33647223662121206
58,8,8_B03,1,234.438949733225,0.8520250257142861,0.5306282510621703,-1.0,1,1,0.785714285714286,0.0,0.0,0.426550281486046,0.06631074000000003,0.5007752879124885,0.5007752879124885
59,8,8_B05,1,234.438949733225,0.8520250257142861,0.518793793415167,-1.0,1,1,0.785714285714286,0.0,0.0,0.426550281486046,0.06631074000000003,0.5306282510621703,0.5306282510621703
60,8,8_B06,1,234.438949733225,0.8520250257142861,0.5007752879124885,-1.0,1,1,0.785714285714286,0.0,0.0,0.426550281486046,0.06631074000000003,0.518793793415167,0.518793793415167
61,8,8_B07,1,234.438949733225,0.8520250257142861,0.2623642644674904,-1.0,1,1,0.785714285714286,0.0,0.0,0.426550281486046,0.06631074000000003,0.5007752879124885,0.5007752879124885
62,8,8_B08,1,234.438949733225,0.8520250257142861,0.5877866649021186,-1.0,1,1,0.785714285714286,0.0,0.0,0.426550281486046,0.06631074000000003,0.2623642644674904,0.2623642644674904
63,8,8_C01,1,234.438949733225,0.8520250257142861,0.33647223662121206,-1.0,1,1,0.785714285714286,0.0,0.0,0.426550281486046,0.06631074000000003,0.5877866649021186,0.5877866649021186
64,8,8_C02,1,234.438949733225,0.8520250257142861,0.5306282510621703,-1.0,-1,0,0.785714285714286,0.0,100.0,0.0,0.06631074000000003,0.33647223662121206,0.33647223662121206
65,8,8_C03,1,234.438949733225,0.8520250257142861,0.5007752879124885,-1.0,1,1,0.785714285714286,0.0,0.0,0.426550281486046,0.06631074000000003,0.5306282510621703,0.5306282510621703
66,8,8_C04,1,234.438949733225,0.8520250257142861,0.5877866649021186,-1.0,1,1,0.785714285714286,0.0,0.0,0.426550281486046,0.06631074000000003,0.5007752879124885,0.5007752879124885
67,8,8_C05,1,234.438949733225,0.8520250257142861,0.04879016416943127,-1.0,1,1,0.785714285714286,0.0,0.0,0.426550281486046,0.06631074000000003,0.5877866649021186,0.5877866649021186
68,8,8_C06,1,234.438949733225,0.8520250257142861,0.2231435513142097,-1.0,1,1,0.785714285714286,0.0,0.0,0.426550281486046,0.06631074000000003,0.04879016416943127,0.04879016416943127
69,8,8_C07,1,234.438949733225,0.8520250257142861,0.4054651081081637,-1.0,-1,0,0.785714285714286,0.0,100.0,0.0,0.06631074000000003,0.2231435513142097,0.2231435513142097
70,8,8_C08,1,234.438949733225,0.8520250257142861,0.5877866649021186,-1.0,-1,0,0.785714285714286,0.0,100.0,0.0,0.06631074000000003,0.4054651081081637,0.4054651081081637
71,8,8_D01,1,234.438949733225,0.8520250257142861,0.5306282510621703,-1.0,1,1,0.785714285714286,0.0,0.0,0.426550281486046,0.06631074000000003,0.5877866649021186,0.5877866649021186
72,8,8_D02,1,234.438949733225,0.8520250257142861,0.33647223662121206,-1.0,1,1,0.785714285714286,0.0,0.0,0.426550281486046,0.06631074000000003,0.5306282510621703,0.5306282510621703
73,8,8_D03,1,234.438949733225,0.8520250257142861,0.5306282510621703,-1.0,1,1,0.785714285714286,0.0,0.0,0.426550281486046,0.06631074000000003,0.33647223662121206,0.33647223662121206
74,8,8_D04,1,234.438949733225,0.8520250257142861,0.4700036292457348,-1.0,1,1,0.785714285714286,0.0,0.0,0.426550281486046,0.06631074000000003,0.5306282510621703,0.5306282510621703
75,8,8_D05,1,234.438949733225,0.8520250257142861,0.4054651081081637,-1.0,-1,0,0.785714285714286,0.0,100.0,0.0,0.06631074000000003,0.4700036292457348,0.4700036292457348
76,8,8_D06,1,234.438949733225,0.8520250257142861,0.33647223662121206,-1.0,-1,0,0.785714285714286,0.0,100.0,0.0,0.06631074000000003,0.4054651081081637,0.4054651081081637
77,8,8_D07,1,234.438949733225,0.8520250257142861,0.4700036292457348,-1.0,1,1,0.785714285714286,0.0,0.0,0.426550281486046,0.06631074000000003,0.33647223662121206,0.33647223662121206
78,11,11_A02,1,211.810382507595,0.7505212663157881,0.4054651081081637,-1.0,-1,0,0.684210526315789,0.0,100.0,0.0,0.06631073999999904,0.4700036292457348,0.4700036292457348
79,11,11_A03,1,211.810382507595,0.7505212663157881,0.5877866649021186,-1.0,1,1,0.684210526315789,0.0,0.0,0.472120388132599,0.06631073999999904,0.4054651081081637,0.4054651081081637
80,11,11_A04,1,211.810382507595,0.7505212663157881,0.6931471805599445,-1.0,-1,0,0.684210526315789,0.0,100.0,0.0,0.06631073999999904,0.5877866649021186,0.5877866649021186
81,11,11_A05,1,211.810382507595,0.7505212663157881,0.182321556793954,-1.0,1,1,0.684210526315789,0.0,0.0,0.472120388132599,0.06631073999999904,0.6931471805599445,0.6931471805599445
82,11,11_A06,1,211.810382507595,0.7505212663157881,0.570979546585737,-1.0,1,1,0.684210526315789,0.0,0.0,0.472120388132599,0.06631073999999904,0.182321556793954,0.182321556793954
83,11,11_B02,1,211.810382507595,0.7505212663157881,0.4054651081081637,-1.0,-1,0,0.684210526315789,0.0,100.0,0.0,0.06631073999999904,0.570979546585737,0.570979546585737
84,11,11_B03,1,211.810382507595,0.7505212663157881,0.6931471805599445,-1.0,1,1,0.684210526315789,0.0,0.0,0.472120388132599,0.06631073999999904,0.4054651081081637,0.4054651081081637
85,11,11_B04,1,211.810382507595,0.7505212663157881,0.5877866649021186,-1.0,1,1,0.684210526315789,0.0,0.0,0.472120388132599,0.06631073999999904,0.6931471805599445,0.6931471805599445
86,11,11_B05,1,211.810382507595,0.7505212663157881,0.5306282510621703,-1.0,1,1,0.684210526315789,0.0,0.0,0.472120388132599,0.06631073999999904,0.5877866649021186,0.5877866649021186
87,11,11_C02,1,211.810382507595,0.7505212663157881,0.2623642644674904,-1.0,1,1,0.684210526315789,0.0,0.0,0.472120388132599,0.06631073999999904,0.5306282510621703,0.5306282510621703
88,11,11_C03,1,211.810382507595,0.7505212663157881,0.5306282510621703,-1.0,-1,0,0.684210526315789,0.0,100.0,0.0,0.06631073999999904,0.2623642644674904,0.2623642644674904
89,11,11_C04,1,211.810382507595,0.7505212663157881,0.6418538861723944,-1.0,1,1,0.684210526315789,0.0,0.0,0.472120388132599,0.06631073999999904,0.5306282510621703,0.5306282510621703
90,11,11_C05,1,211.810382507595,0.7505212663157881,0.5596157879354227,-1.0,1,1,0.684210526315789,0.0,0.0,0.472120388132599,0.06631073999999904,0.6418538861723944,0.6418538861723944
91,11,11_D01,1,211.810382507595,0.7505212663157881,0.4054651081081637,-1.0,1,1,0.684210526315789,0.0,0.0,0.472120388132599,0.06631073999999904,0.5596157879354227,0.5596157879354227
92,11,11_D02,1,211.810382507595,0.7505212663157881,0.5877866649021186,-1.0,1,1,0.684210526315789,0.0,0.0,0.472120388132599,0.06631073999999904,0.4054651081081637,0.4054651081081637
93,11,11_D03,1,211.810382507595,0.7505212663157881,0.4054651081081637,-1.0,1,1,0.684210526315789,0.0,0.0,0.472120388132599,0.06631073999999904,0.5877866649021186,0.5877866649021186
94,11,11_D04,1,211.810382507595,0.7505212663157881,0.5306282510621703,-1.0,1,1,0.684210526315789,0.0,0.0,0.472120388132599,0.06631073999999904,0.4054651081081637,0.4054651081081637
95,11,11_D05,1,211.810382507595,0.7505212663157881,0.182321556793954,-1.0,-1,0,0.684210526315789,0.0,100.0,0.0,0.06631073999999904,0.5306282510621703,0.5306282510621703
